Reply,Code
That is so last month.  Look around lady we need to start stealing from China now.  I know it's hard for you to see outside the gilded Gates of Kiawah Island but you are out of touch.,2c
"All American allies are meeting with China to improve trading relations; Taiwan has been to China for meetings.
Their electric car business is booming worldwide, their renewable energy is increasing sales due to the oil shortage, and half of their power comes from 
renewables.",0
"Easy.
China's 6-gen J36 and J50 are gonna serve by 2030, where's yours?
Nvidia chips sales in China is ZERO, why? Ask Jesen Huang.
As per ASPI, China leads in 66 out of 74 high-techs.
You claim China steals your techs, while you blame you GIVE them to China, which words are true?",0
Who allowed Chinese doctoral candidates to go to do their research on tech with dual use potential???  Who gave visas to these students to work in American tech firms???,0
"Nikki, just like most Americans, hasn’t bothered to read any peer reviewed scientific AI technology papers. If she did, she would notice the lead scientist in about 70% of the papers are mainland Chinese dominated.",0
"Yeah,and use our money to build America's infrastructure instead of bombing other countries would be great too.",0
"I am glad the comments acknowledge you don't know anything about business. Sounds like it might be best for you to keep these terrible takes to yourself?

Also, you didn't actually state how you would solve anything. Fear Mongering China",1
"bullshit distractions from Israel First Nikki Haley
Haley will never talk about
affordable housing
living wage
healthcare
because her rich donors don't want her to..
she will distract you with China bogeyman bs, however..#NikkiHaley..#MAGA..#fascism..",1
"Look at TikTok. Sure, the United States would never ‘steal,’ as robbing is a much easier way to take another country’s technology, right?",0
"Yap yap yap. It’s not stealing if the competitors are smart enough to reverse engineer. It’s not stealing if you shared. It’s not stealing if you asked a competitor to make it because you want to increase profits through cheap labour.
Stop crying",1
"Glad to know you haven't lost your propaganda-driven worldview! Blind ignorance of China's lead across multiple areas is required to suggest China is stealing.

They are making better chips already. Ask for a good deal on them!",1
"US tech is falling behind, the Chinese are beyond US now. Your fear mongering, corruption and wars is destroying real advances. Now you cry like a little bitch blaming everyone but yourselves.",2a
Add to the list - Stop letting China acquire US land!,0
"China has contributed so much to the world, China invented printing, gunpowder, compass, paper….. the whole world benefits from China’s invention. Nikki Haley might not use toilet paper because she is Indian 😂",1
What China can't steal is your stupidity.,3f
Haha! You wont even ban TikTok! Or stop them from invading!,0
"You American still cannot build a new F-22 right isn't it, Soo before saying that we stealing your design, problem is, china successful build the aircraft and manage to fly, unlike your air force, still cannot protect American and stop the attack of 9/11. Lol 😂😆",0
"No, dimwit. The opposite is the case. China leads the US in 68 of 74 high technology categories. You block Chinese technology because you can’t compete. Pathetic losers.",3f
Your view only exposes your extreme ignorance beyond redemption.,1
China dont have to steal shit they are just better at every thing were they learn kids in the usa to be a transgender in China they learn how to cook and learn how to survive usa is warnonger country a mafia state that needs to be nuke one day so the world can have real oeace,0
"By your own logic, they're just gonna steal it away so why not sell it.",0
"1/2
Too late to complain about that.
The West wanted cheaper manufactured goods in the 1980's so we (USA and UK for sure) relocated our manufacturing to China.
China probably did steal intellectual property back then but the West was happy to turn a blind eye",0
"In fact the situation is worse, China steals what USA can't build tooooooooo,or in the year or 2026 China steal what USA build in 2126, this is real bad. Fuck them.",0
"Nikki in Punjabi means small. So, Nikki, have you ever visited China? Go and visit and then share your wisdom, but then don't mix it with hatred.",0
Historically countries have been stealing/getting inspired from each other. Nothing new here,0
The solution is to destroy the time machine that the CeeCeePee uses to steal the IPs developed by the USA in the future. How did they stole the time machine in the first place?😂,0
yes the problem is.. .. they are NOT buying H200 even after US want to sell to them.. so i guess you win this? we are not suppying AI chip to them..,0
"US deep state has allowed China to steal every kind of tech in return of dollar as reserved currency.

US politicians are biggest stooges of US deep state consisted of big corporates.

All US politicians can do is use hateful instincts to garner support & put blame on others.",0
"Nikki received millions of dollars from the military-industrial complex, she is a dangerous woman and wants to send American people to die in the potential war with China. Please be cautious!!",1
"U should wash ur dirty face before talking ill of China.
China is a talented nation with patriotic leadership so they have excelled in technology.  
In American cities we see thousands of drug addict zombies & trash whereas on Chinese roads u can see your face due to cleanliness.",3g
"Who do you think you are to give China anything? They build what they want. I'm no fan of China or the CCP. I'm a proud Indian, but what I said is obvious. 
It's great to want to win, but why can't you see others win? Petty!",1
"Shut fxxking up your mouth . In the reality the us even can’t beat the Iran in the war.  Your country just only incompetent and furious. Do your country have anything that china didn’t have? The F35 fighter jets like a trash that bombed by Iran.
",1
An it's an even bigger scandal that you sell them US debt. The interest they make goes to build up the PLA. This selling of debt to China must stop.,0
"this person has not step foot into china/shanghai/Shenzhen.. china  was a slave house for US biz to make cheap n sell at walmart.. if copy was easy why SG, Thailand n Philippines could not? Silicon valley is made up of many Chinese scientists n engineers btw",0
Imagine accusing someone of stealing cancer drug formulas. Drugs that save lives. The formulas should be free to the world if you have any decency. Pathetic.,1
"The Chinese never stole - either they learned it or you sold it - Greed is yours fucking nature  but once they got it, they will stab you in the back. You deserve the stabbing and learn and weep!",1
"Nikki, don't you realize that even the most gullible people know you are _bullshitting_?",3d
china doesn't need to steal or buy anything from US. Chinese are way smarter than dumbass americans like you and can build invent innovate everything better faster cheaper than evil and corrupt hubristic US. so shut the fuck up you evil witch who sign bombs to kill women and kids,2a
There are about 5.2 million people of Chinese origin live in the United States.  Does it make any sense to demonize an immigrant group?  What is your intent?,0
Formal Request for the Restitution of Cultural Property which you stole from China to the People's Republic of China!,1
"Stats say you're talking utter BS
Top Patent Filing Countries (2024):

China: ~1.8 million applications

United States: ~501,831 applications

Japan: ~419,132 applications

South Korea: ~295,722 applications

Germany: ~133,485",1
"You fabricate & deceive. You do not pay attention either. China has developed it's own computer chips, it's own fighter & commercial jets, it's own AI, without US tech - it did so under endless US sanctions for these products - time to wake up & smell the coffee Sister.",3d
"Just get their money out of our politicians’ pockets to start with and then we’ll worry about the rest…. (Seriously, the CCP owns at least a 1/3 of nation’s politicians. This is a problem.)",0
You think America is more talented then china lol 😂 they invest in education … have you seen their robots compared to ours,0
"The biggest IT companies in US are all producing in China !!! Apple, IBM, DELL, HP, BROADCOM, etc etc So what do you think ? US companies bring their technology to China themselves ! China dont need to steal ? Are you americans really that stupid or you just act like this ???",1
"Bimbo, China invented Compass&  seisometer in the 1st century&paper in the 8th century. China provides 80% of household products around the globe, while you provide bluster, cluster that bankrupted USA $40T in debt& got the middle finger:Korea'53 to Ukraine'14-'26&Iran'26.",2a
I completely agree. Please tell me how does Trump administration deal with Huang Renxun- NVIDIA CEO？He's 100% siding with the evil CCP.,0
They are pretty smart over there in China too. We have enough corruption in our own government right now to worry about than to be calling out China.,0
Really ? China steal J-36/J-50 from where ? Now It's you are stealing things,1
"It may explain why USA does not have hypersonic planes, hypersonic missiles and 3 times more papers on AI published. They have gone to China, :-Q",0
"They are completely controlling EVs…Solar, etc…their society is set for generations…unfortunately we are fucked cuz you bafoons hate progress.  Just go away already.  😂😂😂. Fucking idiots screwing us over constantly.",1
"Brain disease, cognitive level is like infant, always full of prejudice to the outside world",99
You are stealing resources from all over the world and also kill people for it. Stop crying.,1
"Help them win? 
Nah, it has never been a win or lose, cooperation will bring everything greater good. 
Negativity when others succeed is bad.",0
Nikki you must be the dumbest Desi cos the current WH occupant steals billions openly. One needs intelligence to steal IP not brute force funded by taxpayers to invade peaceful loving people of other countries,3f
Every empire calls competition theft when its monopoly starts collapsing.,0
"Oh, that Nimarata Nikki Randhawa from Punjab. I heard that Indian people have a built-in aversion to Chinese people, but maybe that's also just a rumor.",1
Tortilla chips are ok to share though,0
"It is the opposite actually. There's no such entity called Chinese Communist Party (go figure). China leads in nearly 90% of critical technology. China is inventing, creating, and innovating many things the U.S. does not have. If you're so competent why  need to worry about CN?",0
Has anyone ever stolen nuclear secrets from the United States and then built nuclear weapons?,0
If they are stealing everything then why are they ahead in most technology areas?,0
"Haha, are you living in a dream? Our Chinese technology is miles ahead of yours, you idiot!",3f
"There needs to be a thorough investigation of business leaders who demand they be allowed to export our most advanced technology to China and its allies such as those in the Middle East. Among those leaders I would include Jensen Huang, Lisa Su, Mark Zuckerberg.",0
Since you brought it up…let’s not forget the Nazi scientists brought to the US after the war and were instrumental in developing the rockets used for American spacecraft,0
"When China was blatantly copying/stealing everything from cars to mobile phones to advanced tech, US companies were still lining up to invest in China.
With all the leverage that China has now, its probably a bit too late to take action.",0
"Still better than US that builds weapons for mass destruction of other countries
",0
"The Americans has become lazy, we cannot do even a single thing for ourselves without asking foreigners to do it. We let Chinese Nationals enter our top Universities that the average US Citizen cannot afford. That’s how they’re stealing our Tech and give us the middle finger.🖕🏿",0
"Wake up you useless politician and loser, China is ahead already. ",1
"When I start to read your posts in your shrill, nagging voice I immediately stop because it’s too grating. But then I remember that you probably can’t read, so they’re all written by dumb millennial staffers.",3f
"I’d call you a horse but with your recent weight gain you’re a lot more like a little piggy. Oink oink, Hogasio Porkez.",3g
But is he wrong?,0
"We will not only be removing you from office, but no woman will ever vote again.",2a
"Can't help but read all your tweets in the voice of a bartender who flunked economics, lied about her own background, and now cosplays as a 'working class hero' while pushing policies that flood the country with people who vote themselves your constituents' money.",3f
Workplace safe network tv reference is millennial cringe,1
"AOC uses childish pop culture references to mask her active participation in the demographic dissolution of America. She is a vapid, low-IQ bartender and a grotesque puppet for the destruction of our heritage. She giggles about sitcoms while the Supreme Court weighs the survival of our nation in the birthright citizenship case. Stephen Miller correctly identifies the existential threat to our children. Democrats are universal parasites who weaponize illegal migration to dilute the votes of citizens. You are a dangerous demagogue thriving on the engineered ignorance of your voters.

If you like my comments, please consider following me at 
@EternaRepublica
 where I will dismantle the left entirely without mercy.",3f
"Attack the argument, not the person.

I could call you a sexy little retard, but that wouldn’t be a good argument.",2
😂😂😂🔥,0
I read your tweets in Rosie Perez’s voice from White Man Can’t Jump,99
"you mean the smartest character on the show that said unpopular truths and actually owned land

that was the joke, the main characters were soysucking losers",0
Slippers baby cakes slippers,99
"I read yours and hear 
@BigBird
 voice.",1
That's because you're retarded.,3f
"The 14th Amendment guarantees citizenship at birth, not a tax‑collecting lottery. Even if the kids later vote, they inherit the same rights we all enjoy, not a secret treasury for the government.",0
"Pay no attention to Temu Goebbels, he’s just spewing the Retrumplican Bullsh’t talking points🙄",0
"""With his Teutonic heritage and background in agriculture, Dwight was, in many ways, the hero of the show."" - 
@baltic_dan",0
"That’s because you’re emotionally stunted and like a bunch of you other half-tards, you live your life like you’re in The Office",3f
Which one of your multiple personalities are you reading that in?,3f
FACT: Every tweet is 100% more intense in the Dwight voice.,1
"He and his wife are vile and inhumane.  They are jewish and speak of the holocaust that killed 6 million jews and this monster turns around and does locks up human beings in deplorable conditions, akin to concentration camps during WW2.  Miller is invested in these private prisons and will earn money torturing other human beings.  His vile wife cheers him on.  Stephen Miller's uncle wrote an article calling his nephew an Immigration hypocrite since their families were all immigrants.  They are both disgusting people with no empathy for anyone else, just greed.",0
"You voted AGAINST deporting illegals who

-rape + kill children
-commit welfare fraud
-commit violence + rape of American women
-assault law enforcement
+ on + on

Your every vote tries to put illegals above US law like kings",1
Noncitizens are not fully under the jurisdiction of this country. The 6th amendment? Noncitizens can’t be summoned for jury duty since they don’t have the jurisdiction. And they don’t have the jurisdiction to vote in federal elections. So how do their kids they birth here?,0
There are many things you can't help google eyed kook!,
Expert he’s right and you being a smart ass doesn’t  make it him any less spot on .,3a
Except he’s not Dwight Schrute he’s Stephen Miller and holds genuine sway in our nation,0
I can't help but reading yours in a r3tards voice,3f
I can't help but read your tweets in the Shrek Donkey's (Eddie Murphy) voice.,1
"The idea that a pregnant woman with allegiance to another country, can come to America illegally, then have her baby who is then eligible to be POTUS is an absolutely insane concept. 
 
American writers of the 14th Amendment never intended for someone from China to be able to come to America and have a baby that is immediately a citizen. It was strictly written for formerly enslaved people after the Civil War and has been abused ever since.",0
You can read?,3f
"Screw you. 
And, where is your comment on the horrific murder of a young woman who graduated from your high school by a criminal illegal immigrant?
Her name is Sheridan Gorman. 
Take that to the Office, and screw you.",1
"She can’t counter his arguments, so we get this middle school stuff.  Pathetic.",3b/3c
Still doesn’t mean he is wrong though,0
Now it’s stuck in my head too.,0
"🤣🤣🤣 that’s funny,  but I feel like it only humanizes that walking dildo.",0
"This is Dwight Schrute slander, comparing him to Miller xD",0
"Did you took your drug already, you are a EMBARRESTMENT TO ALL PUERTORICANS THAT WORK HARD TO BRING UP OUR CHILDRENS INTO THE AMERICAN DREAM AND YOU AND YOUR CRIMINALS  REMOCRAT FELLOWS BELIEVE THAT YA CAN CONTINUE LYING TO AMERICA STEALING OUR TAXES, YA ALMOST DESTROYED OUR COUNTRY DONT U SEE U DRUG ADDICT JUST LIKE EVERY 9 PUERTORICAN OUT OF 10 ABOCHORNATE CANTO E LOCA!",
I do yours in Minnie Mouse; Even though that cartoon character was your intellectual superior by miles.,3f
Dwight is a patriot,0
"Okay, donkey…",3g
Super. Now what about the content?,1
I do yours in Mister Ed voice.,1
The wall clocked your dumb ass harder than this limp-dick take ever could. #tortatime,3f
Dwight turned out to be the most logical and based character on the show. Checks out.,0
"🤣🤣😉
Birthright citizenship needs to go. Only benefits illegals.",0
"As a Conservative, do you know what I love about you, AOC?

That you're never this quick-witted or good at comebacks whenever you do interviews or Town Halls. 

Social media is definitely not real life in your case.",1
Just imagine it in his voice. He's got an awesome voice.,0
"I read yours in an 
@aoc
 voice. Even worse.",1
"Who are you kidding?

You can’t read…..",3f
You sound silly!  Is it the Ketamine?,1
You’re using campaign funds for ketamine,1
Can’t help but realize you are a hateful excuse for a human being,1
Are you high on Ketamine again? Maybe that’s why you’re hearing voices.,1
You should debate him. You’re way smarter than him and it would totally go well for you!,0
Is that from the Ketamine ?,1
"I hear him in a Patriots voice.
You must on some kind of drug.
What could it be?",1
And yet he is right.,0
Filthy communist doesn’t care about inheritance because the invaders taking what they didn’t build or earn is part of their class struggle,1
That’s fine. But you should also take in the substance because he is 100% correct. Why do you not care about American sovereignty? Do you hate us THAT MUCH?,0
"Depth of your argument is sadly expected. 

What is it like to disappoint constituents daily at three times their median salary?",1
Is that a side effect of the Ketamine?,1
He's right AOC you're the proof of it!,1
It’s funny. I always picture your words coming out of a 10 year old who doesn’t understand economics,3e
"He’s not wrong though, I thought you socialists cared about the working class citizens?

Social programs cripple a country when non-citizens have access to taxpayer dollars. 

…. even your mentor Bernie knew that.",0
You are a brown bioweapon,1
I'm glad you can read ABC,3a
I read yours in Valley Girl voice,1
ok horseface,3g
Shut up cankles,
You've been getting fatter recently. Care to comment?,3g
I read yours in Dora the explorer of she were dumb.,3f
Can't help but read your tweets in the retarded cunt voice.,3f
"Why do you have such an appetite for immigrants entering our country?

Especially considering how their arrival has increased costs of everything for everyone",1
"Meanwhile - he’s right. Address what he said, or shut the fuck up.",1
Dwight Schrute is 10x the American you could ever be,1
Care to respond to his actual point?  Nah?,1
Are you drunk tweeting again?,3b
You aren’t fooling anyone with this whole “can’t help but read” bit,1
Can’t help but read all of yours in the Selena Meyer voice,
"Says the woman who struggles with basic economics, misstates facts on history & policy and resorts to insults & voice changes when challenged. The voice we hear when reading all her tweets is often referred to the du*b*st person in government. Proven in Munich.",3e
Can’t help seeing a rabid horse when I see you,3g
Like you can read.,3f
What an odd way to say you sound out words while you read.,1
Is this funny to you? Many American’s died early or live shitty elderly lives to give their kid’s something. (The Office was never funny) Get fucked.,1
The most intelligent and thoughtful character in the show? I don't think this was the roast you thought it was chief,0
Everybody look! The fat girl with the horse face made a funny!,3g
Probably in your ketadreams.  Freak.,1
"AOC, honey, people loved the movie Office space and they loved Dwight! So what the fuck are you trying to illustrate? Are you really that stupid? I think you are! Maybe go back to the LEARING center and find out where your degree is",3e
"And everytime  you post anything. 

It always comes out stupid.",3e
That would be fun while you tend bar!,3b
"Can’t help but read all your posts (no lame ‘tweets’ since the amazing 
@elonmusk
) in a valley girl voice",
I can't help but read your tweets in the kamala Harris voice. Cackling included.,1
Ketamine? Are you suffering too? Humiliation on the world stage will do that. 😞,1
That was a good one. I don’t agree with your politics but this was a good one.,0
Too many people take advantage of the American dream too many of the people you want in our country wanna live without the government they do not belong in America which part don’t you understand what birthright citizenship means it was for slave children not for Third World illegal aliens,1
Can't hear you over your husband's snoring.,99
Okay chapati tits,3g
"You are a big part of the problem women, women, women you’re too emotional to be in power",2c
"Meanwhile, Elise Stefanik hasn't held a town hall in 6 years.",0
"AOC, are you running for the WH in 2028?",0
How about you speak up on the two Jihadi Muslim Terrorists that tried to kill innocent and random people on a street in NYC?,1
"Thank you for all you do AOC🙏
",0
"Afraid to go into your District Missy? Thought you represent Bronx, Queens which have turned into *trash* because of your neglect.",3
People are on the streets throwing bombs. I'm glad you had a beautiful day......retard.,3
"By farm workers you meant illegals you are harboring , right?",1
But you can’t find TSA and Homeland Security? Enjoy your apple.,1
working people coming together is when politicians need photo ops,1
AOC will sell working people out for power every single time.,1
Why did you vote to hide the sexual misconduct of your co workers?,1
"You represent queens and the Bronx, lost again?",3
AOCIA hanging out with shady military intelligence people,1
The squad needs to be dismantled and crushed like the tyrants they are.,99
"APPLES??  they wanted rice and bananas 
https://facebook.com/share/r/18Fi6ZpRGY/",0
Then Muslim terrorists tried to kill us,1
"Yeah, take the taxes from the workers, picking apples and give illegals free money.They don't have to work for",1
That must have been an exhausting day of stunning accomplishments 🙄,3
"Yeah, I just think how many people you could’ve put to work in the Amazon fulfillment center. What an idiot.",3
Go back to bartending you twit.,3
you Couldn't Share Anything about New York you Don't Live there Anymore and your A F_cking Moron.,3
Would you ever collab with Nick Fuentes?,0
You are no longer the party of the working class. You are the party of the “non-working” paid for by the working class!,0
"Hey AOC, how many illegals voted for you on your last election? I think you should be audited.",1
"No bombs thrown today? 

That’s good",1
Why do you care about migrants more than Americans?,1
Seeing Bronx farmhands and upstate town halls in the same day underscores how our food system and local politics are already intertwined—policy can start at the orchard and end in the council chamber.,0
"@grok
 What issues are produce workers and local communities in New York most concerned about right now? 🍎👷",0
