Reply,Code,Post
"He and his wife are vile and inhumane.  They are jewish and speak of the holocaust that killed 6 million jews and this monster turns around and does locks up human beings in deplorable conditions, akin to concentration camps during WW2.  Miller is invested in these private prisons and will earn money torturing other human beings.  His vile wife cheers him on.  Stephen Miller's uncle wrote an article calling his nephew an Immigration hypocrite since their families were all immigrants.  They are both disgusting people with no empathy for anyone else, just greed.",0,
"You voted AGAINST deporting illegals who

-rape + kill children
-commit welfare fraud
-commit violence + rape of American women
-assault law enforcement
+ on + on

Your every vote tries to put illegals above US law like kings",1,
Noncitizens are not fully under the jurisdiction of this country. The 6th amendment? Noncitizens can’t be summoned for jury duty since they don’t have the jurisdiction. And they don’t have the jurisdiction to vote in federal elections. So how do their kids they birth here?,0,
There are many things you can't help google eyed kook!,,
Expert he’s right and you being a smart ass doesn’t  make it him any less spot on .,3a,
Except he’s not Dwight Schrute he’s Stephen Miller and holds genuine sway in our nation,0,
I can't help but reading yours in a r3tards voice,3f,
I can't help but read your tweets in the Shrek Donkey's (Eddie Murphy) voice.,1,
"The idea that a pregnant woman with allegiance to another country, can come to America illegally, then have her baby who is then eligible to be POTUS is an absolutely insane concept. 
 
American writers of the 14th Amendment never intended for someone from China to be able to come to America and have a baby that is immediately a citizen. It was strictly written for formerly enslaved people after the Civil War and has been abused ever since.",0,
You can read?,3f,
"Screw you. 
And, where is your comment on the horrific murder of a young woman who graduated from your high school by a criminal illegal immigrant?
Her name is Sheridan Gorman. 
Take that to the Office, and screw you.",1,
"She can’t counter his arguments, so we get this middle school stuff.  Pathetic.",3b/3c,
Still doesn’t mean he is wrong though,0,
Now it’s stuck in my head too.,0,
"🤣🤣🤣 that’s funny,  but I feel like it only humanizes that walking dildo.",0,
"This is Dwight Schrute slander, comparing him to Miller xD",0,
"Did you took your drug already, you are a EMBARRESTMENT TO ALL PUERTORICANS THAT WORK HARD TO BRING UP OUR CHILDRENS INTO THE AMERICAN DREAM AND YOU AND YOUR CRIMINALS  REMOCRAT FELLOWS BELIEVE THAT YA CAN CONTINUE LYING TO AMERICA STEALING OUR TAXES, YA ALMOST DESTROYED OUR COUNTRY DONT U SEE U DRUG ADDICT JUST LIKE EVERY 9 PUERTORICAN OUT OF 10 ABOCHORNATE CANTO E LOCA!",,
I do yours in Minnie Mouse; Even though that cartoon character was your intellectual superior by miles.,3f,
Dwight is a patriot,0,
"Okay, donkey…",3g,
Super. Now what about the content?,1,
I do yours in Mister Ed voice.,1,
The wall clocked your dumb ass harder than this limp-dick take ever could. #tortatime,3f,
Dwight turned out to be the most logical and based character on the show. Checks out.,0,
"🤣🤣😉
Birthright citizenship needs to go. Only benefits illegals.",0,
"As a Conservative, do you know what I love about you, AOC?

That you're never this quick-witted or good at comebacks whenever you do interviews or Town Halls. 

Social media is definitely not real life in your case.",1,
Just imagine it in his voice. He's got an awesome voice.,0,
"I read yours in an 
@aoc
 voice. Even worse.",1,
"Who are you kidding?

You can’t read…..",3f,
You sound silly!  Is it the Ketamine?,1,
You’re using campaign funds for ketamine,1,
Can’t help but realize you are a hateful excuse for a human being,1,
Are you high on Ketamine again? Maybe that’s why you’re hearing voices.,1,
You should debate him. You’re way smarter than him and it would totally go well for you!,0,
Is that from the Ketamine ?,1,
"I hear him in a Patriots voice.
You must on some kind of drug.
What could it be?",1,
And yet he is right.,0,
Filthy communist doesn’t care about inheritance because the invaders taking what they didn’t build or earn is part of their class struggle,1,
That’s fine. But you should also take in the substance because he is 100% correct. Why do you not care about American sovereignty? Do you hate us THAT MUCH?,0,
"Depth of your argument is sadly expected. 

What is it like to disappoint constituents daily at three times their median salary?",1,
Is that a side effect of the Ketamine?,1,
He's right AOC you're the proof of it!,1,
It’s funny. I always picture your words coming out of a 10 year old who doesn’t understand economics,3e,
"He’s not wrong though, I thought you socialists cared about the working class citizens?

Social programs cripple a country when non-citizens have access to taxpayer dollars. 

…. even your mentor Bernie knew that.",0,
You are a brown bioweapon,1,
I'm glad you can read ABC,3a,
I read yours in Valley Girl voice,1,
ok horseface,3g,
Shut up cankles,,
You've been getting fatter recently. Care to comment?,3g,
I read yours in Dora the explorer of she were dumb.,3f,
Can't help but read your tweets in the retarded cunt voice.,3f,
"Why do you have such an appetite for immigrants entering our country?

Especially considering how their arrival has increased costs of everything for everyone",1,
"Meanwhile - he’s right. Address what he said, or shut the fuck up.",1,
Dwight Schrute is 10x the American you could ever be,1,
Care to respond to his actual point?  Nah?,1,
Are you drunk tweeting again?,3b,
You aren’t fooling anyone with this whole “can’t help but read” bit,1,
Can’t help but read all of yours in the Selena Meyer voice,,
"Says the woman who struggles with basic economics, misstates facts on history & policy and resorts to insults & voice changes when challenged. The voice we hear when reading all her tweets is often referred to the du*b*st person in government. Proven in Munich.",3e,
Can’t help seeing a rabid horse when I see you,3g,
Like you can read.,3f,
What an odd way to say you sound out words while you read.,1,
Is this funny to you? Many American’s died early or live shitty elderly lives to give their kid’s something. (The Office was never funny) Get fucked.,1,
The most intelligent and thoughtful character in the show? I don't think this was the roast you thought it was chief,0,
Everybody look! The fat girl with the horse face made a funny!,3g,
Probably in your ketadreams.  Freak.,1,
"AOC, honey, people loved the movie Office space and they loved Dwight! So what the fuck are you trying to illustrate? Are you really that stupid? I think you are! Maybe go back to the LEARING center and find out where your degree is",3e,
"And everytime  you post anything. 

It always comes out stupid.",3e,
That would be fun while you tend bar!,3b,
"Can’t help but read all your posts (no lame ‘tweets’ since the amazing 
@elonmusk
) in a valley girl voice",,
I can't help but read your tweets in the kamala Harris voice. Cackling included.,1,
Ketamine? Are you suffering too? Humiliation on the world stage will do that. 😞,1,
That was a good one. I don’t agree with your politics but this was a good one.,0,
Too many people take advantage of the American dream too many of the people you want in our country wanna live without the government they do not belong in America which part don’t you understand what birthright citizenship means it was for slave children not for Third World illegal aliens,1,
Can't hear you over your husband's snoring.,99,
Okay chapati tits,3g,
"You are a big part of the problem women, women, women you’re too emotional to be in power",2c,
"Meanwhile, Elise Stefanik hasn't held a town hall in 6 years.",0,https://x.com/AOC/status/2031042625709527248
"AOC, are you running for the WH in 2028?",0,
How about you speak up on the two Jihadi Muslim Terrorists that tried to kill innocent and random people on a street in NYC?,1,
"Thank you for all you do AOC🙏
",0,
"Afraid to go into your District Missy? Thought you represent Bronx, Queens which have turned into *trash* because of your neglect.",3,
People are on the streets throwing bombs. I'm glad you had a beautiful day......retard.,3,
"By farm workers you meant illegals you are harboring , right?",1,
But you can’t find TSA and Homeland Security? Enjoy your apple.,1,
working people coming together is when politicians need photo ops,1,
AOC will sell working people out for power every single time.,1,
Why did you vote to hide the sexual misconduct of your co workers?,1,
"You represent queens and the Bronx, lost again?",3,
AOCIA hanging out with shady military intelligence people,1,
The squad needs to be dismantled and crushed like the tyrants they are.,99,
