Reply,Code
it’s the only way to nerf you queen otherwise you’d be too powerful,0
At least you learned that salt doesn't go IN ice cream...,0
"Seems your honest opinions and humor hurts ppl too.

Don't let them change you.",0
"Hey you tried lol. If it makes you feel better it seems like the judges were hurt by everyones cookies.",0
Pushing 40 but crashing out on X lmao,"3a, 3b, 3c"
you should be banned from twitch/youtube,1
34 year old woman who cant cook or bake 🥀,"3a, 3b"
"But it was comedy and it's like revenge against the pod prank with Slime lol. So funny!",0
I got my certificate as a chef lemme cook something for you! 💯,0
I'm sure they're fiiiiineeeeee!,0
"King of the Pirates Ocean Sea Ice Cream. Contains One Piece of sugar and a cup of salt. It was just thematic, judges didnt get it.",0
Caroline had to pull out the government name with how bad it was lol,0
I’d cook for you you don’t need to be in the kitchen that’s my area I love cooking it’s my favorite thing to do!!!!! Whatever you want for dinner breakfast or lunch I gotchu….😉,0
HAD ME LAUGHING THE WHOLE TIME THEY TASTED THE ICECREAM 😂,0
didnt help that you didnt taste as you go. gg go next though. you got this,0
You already know that Anways good day streamer,0
the whole chat was praying you’d taste the icecream and redo it 😭😭🫶🏻 taste things as you go!!!!! excited for the rest of the competition LOL,0
"It's fine Rae, their palates weren't refined enough to taste your genius 💖",0
"You know, a chef once told me, “Some people are cooks and some people are arsonists.”  Lol.",0
Learning experience Rae! Tomorrow will be way better,0
"hahaha I knew you were getting confused with the old fashioned way of making ice cream using salt to keep it cooler lmao. Just remember the phrase ""a pinch of salt"" from now on",0
Just the first step in learning how to cook! Don't give up! Everyone makes the too much salt mistake at least once(you're lucky if you only do it once),0
"you're an innovator queen, sea salt ice cream sounds like a great idea",0
You did great for not having a recipe and not baking on a regular basis except the extra salt in the ice cream lol! You’ll do better tomorrow!,0
LMAOOO the whole time I was saying in my head. “Rae please taste the ice cream. Rae please taste the ice cream” 😂,0
Just remember to taste as you go and you would have solved ur problems,0
Is there a way to rewatch? 😩,0
lmfao but honestly if you didnt use the salt tho you would get at least 3rd,0
"Come back to the Philippines, Rae! I'll cook for you instead :)",0
What did you to make them so mad?,0
I had to go back and watch the Vod to see when you added the salt. I was flabbergasted but honestly it was worth seeing Qt react the way she did. Other than that you did pretty good.,0
Youre pushing what age now? Act like it,"3b, 3g"
"If it was Adobo, you might have done well…",0
You also proved you will never have children lol,3b
And you think you’re going to get married when you can’t cook,3b
"you should spend more time in the kitchen, along with several instructors/ chefs. practicing how to cook is never a bad thing",0
So happy you can afford a chef or endless DoorDash 1 cup of salt is diabolical,0
It was day one and you can only get better and learn. Nobody is magically good at first.,0
"The salt and sugar does look similar",0
You tried your best and that's all that matters 🧡,0
"i'm watching the vod, it seems like you had so much fun lmaooo",0
"You had the right ingredients...
And then you had a bucket of salt 😅

But hey, not 0 points, woo!!! 😂",0
To be fair....ice creaming isn't baking.  You'll get em tomorrow!,0
"Quite the opposite, you needa log in more hours 💀💀💀",0
auntie go play candy crush,3b
oh my i dont want spoilers im going to pretend i didn't see this tweet and believe you did amazing,0
as long as we keep you away from the salt i am sure its at least eddible,0
Yea. That was crazyyyyy. DO IT AGAIN! 🤣,0
This is an extremely problematic tweet rae,0
"There's an exception to every rule, thats why i'm a chef.",0
Food is a great way to connect but yeah you are a minted tastebuds terrorist.,0
Learn how to cook Adobo first before going to kitchen. 😂😂😂😂😂,0
Hasan must be asking you to cook 😅,0
I think a factor for masterbaker is someone who shouldn’t be in the kitchen. 😅,0
But it was entertaining as hell.,0
At least you looked pretty and had great vibes 🤣,0
Ummmm well according to the mujahideen that’s like literally the only place you’re allowed to be so 🤷‍♂️,"3b, 3e"
Its funny. And we hope you will learn to love cooking/baking in the future,0
"Well, pretty much nobody can cook these days anymore, if that makes you feel better, you are not the only one.",0
Lmfaoooo!! They're just salty,0
U Tel A Woman 'U Can't Wed Her Cuz She Ain't Well Educated'.. U Tel A Woman 'Wit All Ur Education U Gonn' End Up In D Kitchen'.,99
Cooking is a skill that i learned and practiced. You should learn just for yourself.,0
"the tasting reactions was hilarious, good content.  you just didn't taste it at all. next time always keep tasting before and after oven",0
Physically and Mentally 🤣🤣 they were fighting for Life,0
"Bruh, the only salt to be used is in the water/ice in the machine to get everything to solidify quicker. lol",0
Do I wanna know what happened? 😂 Or can someone link the clip,0
You really said that you were in your villain era 🤣,0
"You cook for looks, not taste",99
We didnt need proof..... we all kinda assumed that 😆,0
That proves you need MORE time in kitchen no ?,0
You shouldn’t be online,1
At least you didnt make salt ice cream this time,0
Even the greatest mysogynist will not reply anymore that you should get back to the kitchen,0
No you should be streaming and lovinv your life,0
rae your xp bar is just too low 😹😹,0
leave her alone ya'll she's just a dystopian gal living her life,0
Stream marathon till you cook a good meal 😁,0
Putting a cup of salt into ice cream was badass LMAO,0
there is nothing wrong with men or women being proficient in the kitchen. the fact you make it seem like this is some point to prove shows how you actually lack anything outisde of that streamer persona mask you put on every day.,1
I can't believe u added so much salt. I dont think I've ever seen a recipe ask for more than a spoon of salt lmao,0
What did you do lol,0
Not your fault. Keep at it.,0
Do you like hurting people? Is that your jam? Does it put an evil 😈 smile on your face? Nice cover photo 😉,99
"Fksfkfkslfdksnfmdksnx u and me",99
"Megamind?..
",3
Sup trick,0
Almost 30 lol,3
:/,0
"Nice to see you,Granny",3
You're like 35. Stop acting like a child,3
hello,0
What's up femoids,2
get off the internet,1
"i dont get all the hate ur getting but must be beccause ur doing something right, got a new follower!",0
"Corny as always",1
30 yrs old,3
I only see Fernando Alonso,0
You’re 30 pack it up grandma,3
hiii,0
Fuck off crow,3
pedo,1
Why are u so insufferable,1
"I can see all the plastic and cement.
",3
Grown ass woman pushing 30 btw,3
You're 30,3
Hey Poki why did you cut off over half of your forehead?,3
Haiii pokiiii,0
you got fat bro,3
Okay when she does this is a lil adorable no cap,0
Shitonof foundation,3
Hello my wonderful queen,0
Grow the fuck up,1
"Makes me laugh when I see people still calling this ""twitter""",0
You can’t be serious 🤣🤣🤣🤣,99
drop poki emote plss 🐦,0
Pushing 50s btw,3
Your cringe af,1
"What is your next scam you millionaire OF girl?
","2, 3"
"Time to beg your followers for more $$$
",3
Oh look a 29 year old hag who wants to be CUTE,"2, 3"
At what point does this bullshit genuinely get concerning to yall. 32 years old posting like a 10 year old. Who genuinely watches this piece of shit,3
Hey,0
"You dedicated your life to twitch in the name of fame and money, and now you approach your 30's and begin to lose your eggs, you shall now live a life of disdain and regret and no amount of coping will save you from your online presence and its inevitable downfall as you grow old","2, 3"
hi,0
Hello the head of streaming 😁,0
SHE GOT A HUGE FOREHEAD 😂😂😂😂😂😂😂😂😂😂😂,3
hello you,0
Habibti pokimane,0
unloaded so hard to this ✊💦,2
Thankyou for cropping out your forehead so this didn’t take up my whole feed.  🤣,3
"You will always be single
",1
You are almost 30. WTF are you doing dawg,3
30yo btw,3
POKI PLEASE SENDME AN IPAD MINI JSVRIWBFIZBECJX,0
Oh look its the cookie scammer girl,3
fuckyou ugly hoe,2
"Get the hell out my face fugly virtue signaling brainless tard
",3
SUP MANE 🔥🔥🔥🔥🔥,0
35 calling your bf your neighbor 😭😭,3
We would feast on the rich with this one cause she chonky.,3
Used goods,2
Yes,0
hello imane💗,0
Hello x,0
Hello to you 😁👋,0
Pushing 30,3
Hello miss poki,0
oh hi i guess,0
🤢,1
so cute,0
hi,0
hello cutie,0
Goofy 29 year old.,99
Who does this get so many views? Who the hell are you lady?,0
40 year old,3
"Can you leave bro you too old
",1
"Ur damn near a fucking grandma start a fucking family my nigga
","2, 3"
"""If your company is bankrupt just say so"" 🤣",1
Can I we'll  look picture,99
"@grok
 what’s in her eyes",3
29,0
Not danhausen.,99
Yo poki WSSP GANG,0
"YOU ARE A THIRTY YEAR OLD WOMEN ACT LIKE IT, this shit just embarrassing and downright pathetic 🤦🤡🤣🤣🤣",1
Bruh that big ass forehead though 😂,3
you got more people blocked than the people who really think ur a good content creator ngl,1
My god you’re ugly 😂,3
Como esta,0
Hello poki,0
Hey cutie 💙,0
Hello fake af millionaire,1
Grown ass,3
"Your not cute, your a mid attention seeking whore, looks like the wall hit you pretty hard.","2, 3"
Fuck of you filthy piece of dog shit,3
Ugly bitch. You’re as fake as they come,2
Not sure why im even seeing this. No clue who it is or why.,0
A 30yo grown ass woman btw,3
it's called X,3
"@permachilled
 ce plm😭✋🏻",99
that's a nice necklace,0
Hi,0
Ugly ass bitch,"2, 3"
pushing 30,3
"people sub and donate to this chick 💀",3
Trying to appeal to the PDF community?,"2, 3"
Hey mama,0
i love the juxtaposition of the flower earring & the edgy necklace lmao,0
"she looks so old and chopped, literally no ass or chest. You simps gave this talentless dork hype btw","2, 3"
That cookie company money came in clutch huh.,1
Looks like she ate too many of those overpriced cookies she was scamming her fans to buy,3
I remember when you didn’t sexualize yourself cause you have value. I guess that went out the door when you got old lol,"2, 3"
Im so gay 😭,0
the dress !!!!!! 🤍,0
i love the juxtaposition of the flower earring & the edgy necklace lmao,0
I'm only here to see the simp losers goon to Phonymane.,3
"Aww stop, you’re so effortlessly pretty it hurts",0
"Why tf did y'all make this bint as rich as she is? Absolutely nothing special, mid af. Btw walking around dressed like this at 30??? Pathetic","2, 3"
idk how you do it every time but your makeup is always perfect 🙂‍↕️,0
You low-key cute asf pokimane 😘,0
W granny. Keep showing these young girls how the older generation gets down,3
"i am a victim of seeing this hoe, how do you plan on making things right?",2
How many times did the wind blowover your glasses?,0
"In other words, I have nothing to offer so come look at me wearing almost nothing","2, 3"
This ain't even cute.  U look like you're wearing a broken Chandelier out of the garbage dump,3
Gorgeous,0
😍🔥,0
Ignore what all of these haters are saying.  You look amazing for a woman gracefully aging into her mid 40s,3
"We hope for pictures of helping the poor or doing some sort of charity work for multi millionaire influencers…

What do we get? Coachella pictures..

These people spend thousands each year to party, we need new role models",0
Gorgeous Poki 😍,0
Damn all that money just to look mid af,3
Cool outfit Poki! ✨You’re glowing! Hope you had a wonderful Coachella weekend so far! ☀️,0
Are you at a golf course ⛳️,0
green fits you a lot!!,0
the dress looks so good on you 😭♥️,0
"Who cares??? I'd say go touch that grass, but it's fake just like you are. I thought I unfollowed you months ago. Now I have 🤣🫡",3
"Gorl, this landscaping is giving depression",0
weren't you saying you are muslim and all that like last week? lmao,1
"I love the sky and I love this look 🧡",0
"still single, we know",1
the dress looks so good on you ♥️,0
Who took the photo?,0
"@grok
 can you remove the objext in the way of the beautiful background",2
Absolutely stunning as always 🔥.,0
"""Dont objectify me"" and this posts shit like this. Youre the full definition of a fuckin retard.","2, 3"
Cute. Too bad you're oh so picky.,3
Is it like a vegas cosplay? I think you look cute in a cowboy hat (not sexually. I don't see you that way.) Like I could see myself buying you takoyaki at the cherry blossom festival in San Francisco.,0
do you have any talent whatsoever? or is your only value goon baiting young boys? do you sleep well at night?,3
People think pokimane is hot btw lmao,3
"quiet day, presence loud",0
am I late or did she go to Coachella?,0
"This is a grown ass 30 year old btw",3
the FaZe CS team is disbanding can you tell Kaysan to fix this situation.,0
CUTIE,0
Who is she ? You??,0
"@grok
 let her wear clothes",3
I need serous relationship 🌹,0
Hey Poki!,0
You look good,0
Gorgeous,0
chopped and muslim ewww,3
🤢🤢🤢🤢🤮,1
I wanna get ur Fortnite emote but it’s not in the shop,0
Beautiful sky,0
Very cool dress,0
sykkuno son,99
k,0
"pushing 40 still no family
",3
Nice,0
So...??,0
Nice Pic 👁️C🫵,0
5,3
Snaky ass hoe,"2, 3"
Looking good 😌,0
You look amazing 🤩,0
🔥👸🏻✨🤎🔥,0
"You're as beautiful as an oil painting, it's simply unreasonable!😍",0
Where's the BF?,0
It's crazy because the background feels like it's a painting.,0
Start a family,3
Oh 👀,0
My fav racist queen,1
My friend cheated. So here's my ass.,0
Hi,0
Good looking,0
Goonbaiting queen,"2, 3"
MID 4.5/10,"2, 3"
Beautiful look at  smile,0
How old is she?,0
clock's ticking,3
You are stunning,0
in her 30s btw,3
Good tech,0
“disappointed but not surprised” girl ur racist af shut the hell up,1
Shut up cockroach.,3
Slut pushing 40,"2, 3"
5/10 in LA,"2, 3"
that's nice :),0
why show up with that trash ass outfit,1
"the juxtaposition the juxtaposition",99
Pokie,0
this gave me explosive diarrhea,0
bg looks like a set,0
You look like a whore,2
You look so good,0
hey dear,0
its nice to go outside,0
