Reply,Code,Post,final code,classifier_label,matched_category,actual_binary,predicted_binary
you want respect so bad but you called a 5 year old a pedophile non verbal spread lies daily aren’t you tired? bitch stfu nobody takes you seriously you are a joke!!! ijbol demanding respect bitch please,2a,,,misogynistic,2a_gendered_slur (matched: 'bitch'),2,1
"Sweetie, you might be pretending in front of the world, but we see u, we peep u as u are trying hard to bring another human down so bad & has terribly failed though, u here preaching morals, masking ur real u, fooling dumbass people like u, I won’t say anything further…………….",3b,,,misogynistic,3b_assumed_incompetence (matched: 'dumbass'),3,1
Ken Barbie her social media manger wrote this!!!! Not this stripper bitch,2a,,,misogynistic,2a_gendered_slur (matched: 'bitch'),2,1
"Who wrote this, this time because bitch we know your illiterate ass didn’t 😂😂😂😂",3b,,,misogynistic,2a_gendered_slur (matched: 'bitch'),3,1
"The fact that this dumb bitches fans actually think she said something of importance should tell you why they were determined to have the lowest IQ 🤣🤣🤣🤣 fuck 
@iamcardib",2a,,,misogynistic,2a_gendered_slur (matched: 'bitches'),2,1
Stfu ugly roach,3g,,,misogynistic,3g_appearance_attack (matched: 'ugly'),3,1
Mid whore,"2, 3",,,misogynistic,2a_gendered_slur (matched: 'whore'),2,1
fuckyou ugly hoe,2,,2.0,misogynistic,2a_gendered_slur (matched: 'hoe'),2,1
My god you’re ugly 😂,3,,3.0,misogynistic,3g_appearance_attack (matched: 'ugly'),3,1
"Your not cute, your a mid attention seeking whore, looks like the wall hit you pretty hard.","2, 3",,,misogynistic,2a_gendered_slur (matched: 'whore'),2,1
Ugly bitch. You’re as fake as they come,3,,3.0,misogynistic,2a_gendered_slur (matched: 'bitch'),3,1
Ugly ass bitch,"2, 3",,,misogynistic,2a_gendered_slur (matched: 'bitch'),2,1
"people sub and donate to this chick 💀",3,,3.0,misogynistic,3c_infantilizing (matched: 'chick'),3,1
"i am a victim of seeing this hoe, how do you plan on making things right?",2,,2.0,misogynistic,2a_gendered_slur (matched: 'hoe'),2,1
"""Dont objectify me"" and this posts shit like this. Youre the full definition of a fuckin retard.","2, 3",,,misogynistic,3b_assumed_incompetence (matched: 'retard'),2,1
Snaky ass hoe,"2, 3",,,misogynistic,2a_gendered_slur (matched: 'hoe'),2,1
Slut pushing 40,"2, 3",,,misogynistic,2a_gendered_slur (matched: 'slut'),2,1
You look like a whore,2,,2.0,misogynistic,2a_gendered_slur (matched: 'whore'),2,1
